	hrf_0	hrf_1	hrf_2	hrf_3	hrf_4	hrf_5	hrf_6	hrf_7	hrf_8	hrf_9	hrf_10	hrf_11	hrf_12	hrf_13	hrf_14	hrf_15	hrf_16	hrf_17	hrf_18	hrf_19
28.700000000000003	2.1082501179733682e-08	1.2699912266252386e-08	1.5002103946229026e-08	-4.024236929849891e-06	-0.0010544299034416275	-0.006834639202923399	-0.016129572236143565	-0.025793433378901352	-0.0292199193734052	-0.028532991681037546	-0.025259274221228274	-0.021208904337445586	-0.01767697821569686	-0.013699338263012163	-0.011165203238661187	-0.00904361296702864	-0.007357896369382068	0.00020548958315808353	0.0008786239538576312	0.001945437834496175
28.8	1.9412326093141897e-08	1.1652007092867966e-08	1.3802875876007437e-08	-3.775385387711934e-06	-0.0010238344371496914	-0.0067172939642327735	-0.015945300546705943	-0.025597754820591994	-0.02896364711044058	-0.028181270824773612	-0.02482428069792653	-0.02074036102993015	-0.017218732104523828	-0.013293710737926937	-0.010828567040412261	-0.008789060426469836	-0.007230323749297345	0.00019671902273679168	0.000848797521692278	0.001887396792992376
28.900000000000002	1.7873902545839486e-08	1.069014140676559e-08	1.2697496852519858e-08	-3.541767659856536e-06	-0.0009941027162601423	-0.00660185198370833	-0.01576292992348897	-0.025403353235283314	-0.028708803337880777	-0.027832105268852197	-0.024394000761725692	-0.020278772984901043	-0.016768743172139278	-0.012896633340545718	-0.01049898763838831	-0.008539091338638331	-0.007103075737371857	0.00018831742605536538	0.0008199770661127052	0.001831076742493533
29.0	1.6456885876608737e-08	9.807291332993465e-09	1.1678836322159077e-08	-3.3224618749027647e-06	-0.0009652112347378842	-0.006488285173816226	-0.015582444714156778	-0.025210223511760565	-0.028455395574071847	-0.027485519888334736	-0.023968468729114786	-0.01982416161768605	-0.0163270127488371	-0.012508085017375981	-0.010176463796923385	-0.008293743781935106	-0.006976230614255681	0.00018026942112845526	0.0007921289323765561	0.0017764270573924327
29.1	1.5151739434876653e-08	8.997002455417799e-09	1.0740282451947556e-08	-3.1166012106262173e-06	-0.0009371370937515222	-0.00637656578904489	-0.01540382931051575	-0.02501836049954981	-0.028203430942556566	-0.02714153817857051	-0.023547715528443886	-0.019376542583004166	-0.015893534578389344	-0.012128036103287382	-0.009860985863563288	-0.008053048692583706	-0.006849863724549622	0.0001725602691767429	0.0007652205799424773	0.0017233985856463926
29.200000000000003	1.3949671836477825e-08	8.253344041978945e-09	9.875706933130653e-09	-2.923370657605737e-06	-0.0009098579872117181	-0.006266666423784091	-0.015227068150652863	-0.02482775901045286	-0.027952916179271384	-0.02680018228118598	-0.023131768783665563	-0.01893592596774124	-0.015468295130725743	-0.011756448745870778	-0.009552536164581566	-0.007817030129750435	-0.006724047491142185	0.00016517583891190212	0.0007392205460912533	0.00167194360650836
29.3	1.2842579059063264e-08	7.570866908745434e-09	9.079431883620818e-09	-2.7420039696259807e-06	-0.000883352187606408	-0.006158560010148326	-0.015052145721000925	-0.024638413820051178	-0.027703857639668636	-0.02646147301002337	-0.022720652898009553	-0.018502316482778884	-0.015051273911925187	-0.011393277324554352	-0.009251089397048736	-0.007585705541571328	-0.006598851433018319	0.00015810258184681026	0.0007140984107121135	0.0016220157894450177
29.400000000000002	1.182299100679869e-08	6.9445646378594525e-09	8.34619875914618e-09	-2.5717807903014748e-06	-0.0008575985321287914	-0.006052219815747537	-0.014879046558333605	-0.024450319669179172	-0.027456261305766384	-0.026125429877007552	-0.022314389137517782	-0.018075713653664185	-0.014642443771087395	-0.01103846886380631	-0.008956613016720594	-0.007359086031432559	-0.006474342186389008	0.000151327508591137	0.0006898247622179468	0.0015735701542096794
29.5	1.0884022202066983e-08	6.369837886294391e-09	7.671139182050858e-09	-2.4120239459649898e-06	-0.00083257640909396	-0.005947619441408369	-0.014707755251690637	-0.02426347126536719	-0.027210132793124245	-0.025792071117934717	-0.021912995714353817	-0.01765611200988537	-0.014241771203677932	-0.010691963439844231	-0.008669067621043868	-0.007137176623867692	-0.00635058352900303	0.0001448381660939303	0.0006663711645542065	0.0015265630320385373
29.6	1.0019326287854734e-08	5.842461542549684e-09	7.049747596672824e-09	-2.262096895410477e-06	-0.0008082657446398505	-0.005844732818848337	-0.014538256444235342	-0.024077863284254392	-0.02696547735774483	-0.025461413718164204	-0.02151648786981172	-0.017243501272547365	-0.013849216650970343	-0.010353694580290194	-0.008388407326649683	-0.0069199765294838764	-0.006227636407484831	0.000138622615796271	0.0006437101252673463	0.0014809520279396406
